Week,Mexico_mag
6/11/2017,4
6/18/2017,2
6/25/2017,3
7/2/2017,3
7/9/2017,3
7/16/2017,3
7/23/2017,3
7/30/2017,2
8/6/2017,3
8/13/2017,2
8/20/2017,1
8/27/2017,3
9/3/2017,1
9/10/2017,3
9/17/2017,2
9/24/2017,3
10/1/2017,2
10/8/2017,2
10/15/2017,9
10/22/2017,3
10/29/2017,3
11/5/2017,2
11/12/2017,2
11/19/2017,2
11/26/2017,2
12/3/2017,2
12/10/2017,3
12/17/2017,3
12/24/2017,5
12/31/2017,4
1/7/2018,6
1/14/2018,4
1/21/2018,4
1/28/2018,4
2/4/2018,3
2/11/2018,4
2/18/2018,7
2/25/2018,6
3/4/2018,6
3/11/2018,4
3/18/2018,4
3/25/2018,4
4/1/2018,4
4/8/2018,4
4/15/2018,3
4/22/2018,2
4/29/2018,3
5/6/2018,3
5/13/2018,3
5/20/2018,2
5/27/2018,4
6/3/2018,3
6/10/2018,2
6/17/2018,2
6/24/2018,3
7/1/2018,3
7/8/2018,2
7/15/2018,1
7/22/2018,2
7/29/2018,4
8/5/2018,3
8/12/2018,2
8/19/2018,6
8/26/2018,4
9/2/2018,4
9/9/2018,3
9/16/2018,3
9/23/2018,3
9/30/2018,3
10/7/2018,4
10/14/2018,3
10/21/2018,3
10/28/2018,4
11/4/2018,3
11/11/2018,4
11/18/2018,2
11/25/2018,3
12/2/2018,2
12/9/2018,3
12/16/2018,3
12/23/2018,4
12/30/2018,3
1/6/2019,2
1/13/2019,4
1/20/2019,3
1/27/2019,4
2/3/2019,2
2/10/2019,2
2/17/2019,3
2/24/2019,2
3/3/2019,1
3/10/2019,2
3/17/2019,2
3/24/2019,20
3/31/2019,100
4/7/2019,22
4/14/2019,7
4/21/2019,6
4/28/2019,4
5/5/2019,6
5/12/2019,5
5/19/2019,4
5/26/2019,5
6/2/2019,2
6/9/2019,3
6/16/2019,4
6/23/2019,3
6/30/2019,4
7/7/2019,4
